3.881460205329244628e-01, 1.982946658734880130e-01, 7.856475060736739513e-01
4.204915222440014921e-01, 1.982946658734880130e-01, 8.091683146389061498e-01
4.528370239550785215e-01, 1.982946658734880130e-01, 8.311384408844871841e-01
4.851825256661555508e-01, 1.982946658734880130e-01, 8.520185438279457291e-01
5.175280273772325801e-01, 1.982946658734880130e-01, 8.719870549669107573e-01
5.498735290883096649e-01, 1.982946658734880130e-01, 8.911214696353547682e-01
5.822190307993866387e-01, 1.982946658734880130e-01, 9.094627066816494132e-01
6.145645325104637235e-01, 1.982946658734880130e-01, 9.270373756436278700e-01
6.469100342215406974e-01, 1.982946658734880130e-01, 9.438643365759996628e-01
6.792555359326177822e-01, 1.982946658734880130e-01, 9.599550599288257935e-01
7.116010376436948670e-01, 1.982946658734880130e-01, 9.753109563601860543e-01
7.439465393547718408e-01, 1.982946658734880130e-01, 9.899180317679217023e-01
7.601192902103103277e-01, 1.982946658734880130e-01, 9.969299212015533262e-01
7.682056656380795712e-01, 1.982946658734880130e-01, 1.000359739722144869e+00
7.722488533519642484e-01, 1.982946658734880130e-01, 1.002055059372338297e+00
7.742704472089065870e-01, 1.982946658734880130e-01, 1.085867641499513869e+00
9.036524540532147043e-01, 1.982946658734880130e-01, 9.742564518778987770e-01
1.033034460897522822e+00, 1.982946658734880130e-01, 8.959252456246361573e-01
1.162416467741830939e+00, 1.982946658734880130e-01, 8.340859535170032091e-01
1.291798474586139056e+00, 1.982946658734880130e-01, 7.822910288269113721e-01
1.421180481430447395e+00, 1.982946658734880130e-01, 7.370964235583418178e-01
1.550562488274755513e+00, 1.982946658734880130e-01, 6.965519509049341584e-01
1.679944495119063630e+00, 1.982946658734880130e-01, 6.594771282186963068e-01
1.809326501963371747e+00, 1.982946658734880130e-01, 6.251109659744490399e-01
1.938708508807679864e+00, 1.982946658734880130e-01, 5.929345835510390073e-01
2.068090515651987982e+00, 1.982946658734880130e-01, 5.625765981137177407e-01
2.197472522496296321e+00, 1.982946658734880130e-01, 5.337600882710451522e-01
2.326854529340604216e+00, 1.982946658734880130e-01, 5.062714379744143178e-01
2.456236536184912556e+00, 1.982946658734880130e-01, 4.799412139121908560e-01
2.585618543029220451e+00, 1.982946658734880130e-01, 4.546319402310303182e-01
3.881460205329244628e-01, 5.948839976204639557e-01, 7.740042692433557470e-01
4.204915222440014921e-01, 5.948839976204639557e-01, 7.971498647183856701e-01
4.528370239550785215e-01, 5.948839976204639557e-01, 8.187393311915704963e-01
4.851825256661555508e-01, 5.948839976204639557e-01, 8.392327351367208088e-01
5.175280273772325801e-01, 5.948839976204639557e-01, 8.588061040865380136e-01
5.498735290883096649e-01, 5.948839976204639557e-01, 8.775339445100507341e-01
5.822190307993866387e-01, 5.948839976204639557e-01, 8.954540358030536051e-01
6.145645325104637235e-01, 5.948839976204639557e-01, 9.125898398821575830e-01
6.469100342215406974e-01, 5.948839976204639557e-01, 9.289571287844401448e-01
6.792555359326177822e-01, 5.948839976204639557e-01, 9.445644664566632542e-01
7.116010376436948670e-01, 5.948839976204639557e-01, 9.594108693930443188e-01
7.439465393547718408e-01, 5.948839976204639557e-01, 9.734813280879726083e-01
7.762920410658489256e-01, 5.948839976204639557e-01, 9.867392629897645540e-01
8.086375427769258994e-01, 5.948839976204639557e-01, 9.991128816399306167e-01
8.409830444880029843e-01, 5.948839976204639557e-01, 1.010467303627221147e+00
8.571557953435414712e-01, 5.948839976204639557e-01, 1.015688218966560141e+00
